SNO,Protein A,Protein B,UniProtID A,UniProtID B,PDB ID A,PDB ID B
1,PSMC2,HSPA4,P35998,O88600,"5GJQ, 5GJR, 5L4G, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I, 5T0J, 5VFP, 5VFQ, 5VFR, 5VFS, 5VFT, 5VFU, 5VGZ, 5VHF, 5VHH, 5VHI, 5VHJ, 5VHM, 5VHN, 5VHO, 5VHP, 5VHQ, 5VHR, 5VHS, 6MSB, 6MSD, 6MSE, 6MSG, 6MSH, 6MSJ, 6MSK, 6WJD, 6WJN, 7QXN, 7QXP, 7QXU, 7QXW, 7QXX, 7QY7, 7QYA, 7QYB, 7W37, 7W38, 7W39, 7W3A, 7W3B, 7W3C, 7W3F, 7W3G, 7W3H, 7W3I, 7W3J, 7W3K, 7W3M, 8CVT, 8JRI, 8JRT, 8JTI, 8K0G, 8USB, 8USC, 8USD, 9E8G, 9E8H, 9E8I, 9E8J, 9E8K, 9E8L, 9E8N, 9E8O, 9E8Q",No 3D Structure
2,SNRPC,SRSF1,P09234,Q6PDM2,"2VRD, 3CW1, 4PJO, 6ELD, 6QX9, 7VPX",1X4C
3,CD38,CD3E,P28907,P07766,"1YH3, 1ZVM, 2EF1, 2HCT, 2I65, 2I66, 2I67, 2O3Q, 2O3R, 2O3S, 2O3T, 2O3U, 2PGJ, 2PGL, 3DZF, 3DZG, 3DZH, 3DZI, 3DZJ, 3DZK, 3F6Y, 3I9M, 3I9N, 3OFS, 3RAJ, 3ROK, 3ROM, 3ROP, 3ROQ, 3U4H, 3U4I, 4CMH, 4F45, 4F46, 4OGW, 4TMF, 4XJS, 4XJT, 5F1K, 5F1O, 5F21, 6EDR, 6VUA, 7DHA, 7DUO, 7VKE, 8BYU, 8D0M, 8IL3, 8P8C, 8VAU, 9GOX, 9GOY","1A81, 1SY6, 1XIW, 2ROL, 5QU2, 6JXR, 7FJD, 7FJE, 7FJF, 7PHR, 8ES7, 8ES8, 8ES9, 8F0L, 8JC0, 8JCB, 8TW4, 8TW6, 8VY4, 8WXE, 8WY0, 8WYI, 8YC0, 9BBC, 9C3E, 9CI8, 9CIA, 9CQ4"
4,HSP90AB1,YWHAG,P08238,P61982,"1QZ2, 1UYM, 2L6J, 3FWV, 3NMQ, 3PRY, 3UQ3, 5FWK, 5FWL, 5FWM, 5FWP, 5UC4, 5UCH, 5UCI, 5UCJ, 6N8W, 6N8Y, 7ULJ, 7Z37, 7Z38, 7ZR0, 7ZR5, 7ZR6, 7ZUB, 8EOA, 8EOB, 8GAE, 8GFT, 8QMO",8XI3
5,SLC25A4,UQCRC1,P12235,P31930,No 3D Structure,"5XTE, 5XTH, 5XTI"
6,CCNF,SQSTM1,Q8K4F8,Q64337,No 3D Structure,"2RRU, 2ZJD, 3ADE, 3B0F, 3WDZ"
7,TAF15,SRSF7,Q9AST1,Q8BL97,No 3D Structure,No 3D Structure
8,EIF4G1,GIGYF2,Q04637,Q6Y7W6,"1LJ2, 1UG3, 2W97, 4AZA, 4F02, 5EHC, 5EI3, 5EIR, 5T46, 5ZK5, 6ZMW, 8HUJ, 8J7R, 8OZ0","5NVL, 5NVM, 7RUP"
9,TNFRSF1A,JAK2,Q15628,O60674,"1F2H, 1F3V, 5XME, 6AC0, 7CSQ","2B7A, 2W1I, 2XA4, 3E62, 3E63, 3E64, 3FUP, 3IO7, 3IOK, 3JY9, 3KCK, 3KRR, 3LPB, 3Q32, 3RVG, 3TJC, 3TJD, 3UGC, 3ZMM, 4AQC, 4BBE, 4BBF, 4C61, 4C62, 4D0W, 4D0X, 4D1S, 4E4M, 4E6D, 4E6Q, 4F08, 4F09, 4FVP, 4FVQ, 4FVR, 4GFM, 4GMY, 4HGE, 4IVA, 4JI9, 4JIA, 4P7E, 4YTC, 4YTF, 4YTH, 4YTI, 4Z32, 4ZIM, 5AEP, 5CF4, 5CF5, 5CF6, 5CF8, 5HEZ, 5I4N, 5L3A, 5TQ3, 5TQ4, 5TQ5, 5TQ6, 5TQ7, 5TQ8, 5USY, 5USZ, 5UT0, 5UT1, 5UT2, 5UT3, 5UT4, 5UT5, 5UT6, 5WEV, 5WIJ, 5WIK, 5WIL, 5WIM, 5WIN, 6AAJ, 6BBV, 6BRW, 6BS0, 6BSS, 6D2I, 6DRW, 6E2P, 6E2Q, 6G3C, 6M9H, 6OAV, 6OBB, 6OBF, 6OBL, 6OCC, 6TPD, 6VGL, 6VN8, 6VNB, 6VNC, 6VNE, 6VNF, 6VNG, 6VNH, 6VNI, 6VNJ, 6VNK, 6VNL, 6VNM, 6VS3, 6VSN, 6WTN, 6WTO, 6WTP, 6WTQ, 6X8E, 6XJK, 7F7W, 7JYO, 7JYQ, 7LL4, 7LL5, 7Q7I, 7Q7K, 7Q7L, 7Q7W, 7REE, 7RN6, 7SZW, 7T0P, 7T1T, 7TEU, 7UYW, 8B8N, 8B8U, 8B99, 8B9E, 8B9H, 8BA2, 8BA3, 8BA4, 8BAB, 8BAK, 8BM2, 8BPV, 8BPW, 8BX6, 8BX9, 8BXC, 8BXH, 8C08, 8C09, 8C0A, 8CZ9, 8EX0, 8EX1, 8EX2, 8EXK, 8EYA, 8EYB, 8F88, 8G6Z, 8G8O, 8G8X"
10,OPTN,TNFRSF1A,Q8K3K8,Q15628,5WQ4,"1F2H, 1F3V, 5XME, 6AC0, 7CSQ"
11,PSMD4,HSPA4,O35226,O88600,No 3D Structure,No 3D Structure
12,DDX5,ELAVL1,Q5R4I9,Q15717,No 3D Structure,"3HI9, 4ED5, 4EGL, 4FXV, 5SZW, 6G2K, 6GC5, 6GD1, 6GD2, 6GD3"
13,TRAF6,TNFRSF1B,B6CJY4,P25119,No 3D Structure,No 3D Structure
14,TARDBP,PURA,Q13148,Q00577,"1WF0, 2CQG, 2N2C, 2N3X, 2N4G, 2N4H, 2N4P, 4BS2, 4IUF, 4Y00, 4Y0F, 5MDI, 5MRG, 5W50, 5W52, 5W7V, 5WHN, 5WHP, 5WIA, 5WIQ, 5WKB, 5WKD, 5X4F, 6B1G, 6CF4, 6CFH, 6N37, 6N3A, 6N3B, 6N3C, 6T4B, 7KWZ, 7N9H, 7PY2, 7Q3U, 8A6I, 8CG3, 8CGG, 8CGH, 8QX9, 8QXA, 8QXB, 9FOF, 9FOR","8CHT, 8CHU, 8CHV, 8CHW"
15,RAB8A,SNCA,Q5R4A3,Q3T0G8,No 3D Structure,No 3D Structure
16,CIAO1,IREB2,O76071,Q811J3,3FM0,No 3D Structure
17,BAG5,TP53,Q9UL15,Q12888,"2D9D, 3A8Y","1GZH, 1KZY, 1XNI, 2G3R, 2IG0, 2LVM, 2MWO, 2MWP, 3LGF, 3LGL, 3LH0, 4CRI, 4RG2, 4X34, 5ECG, 5J26, 5KGF, 5Z78, 5ZCJ, 6CO1, 6CO2, 6IU7, 6IUA, 6MXX, 6MXY, 6MXZ, 6MY0, 6RML, 6RMM, 6UPT, 6VA5, 6VIP, 7LIN, 7LIO, 7YQK, 8EOM, 8F0W, 8HKW, 8SVG, 8SVH, 8SVI, 8SVJ, 8SWJ, 8T2D, 8U4U"
18,MUL1,VPS35,Q9VZJ9,Q2HJG5,No 3D Structure,No 3D Structure
19,EWSR1,ILF3,Q61545,Q9Z1X4,No 3D Structure,"4AT7, 4AT8, 4AT9, 4ATB, 5DV7"
20,U2AF2,DHX9,P26368,Q5R874,"1JMT, 1O0P, 1OPI, 1U2F, 2G4B, 2HZC, 2M0G, 2U2F, 2YH0, 2YH1, 3VAF, 3VAG, 3VAH, 3VAI, 3VAJ, 3VAK, 3VAL, 3VAM, 4FXW, 4TU7, 4TU8, 4TU9, 5EV1, 5EV2, 5EV3, 5EV4, 5W0G, 5W0H, 6TR0, 6XLV, 6XLW, 6XLX, 7S3A, 7S3B, 7S3C, 7SN6, 8P25, 9C7A, 9C7B, 9DWU",No 3D Structure
21,SYNCRIP,U2AF2,O60506,P26368,"2DGU, 2MXT, 2NBB, 6KOR","1JMT, 1O0P, 1OPI, 1U2F, 2G4B, 2HZC, 2M0G, 2U2F, 2YH0, 2YH1, 3VAF, 3VAG, 3VAH, 3VAI, 3VAJ, 3VAK, 3VAL, 3VAM, 4FXW, 4TU7, 4TU8, 4TU9, 5EV1, 5EV2, 5EV3, 5EV4, 5W0G, 5W0H, 6TR0, 6XLV, 6XLW, 6XLX, 7S3A, 7S3B, 7S3C, 7SN6, 8P25, 9C7A, 9C7B, 9DWU"
22,EIF4A3,HNRNPH2,P38919,P55795,"2HXY, 2HYI, 2J0Q, 2J0S, 2J0U, 2XB2, 3EX7, 4C9B, 5MQF, 5XJC, 5YZG, 6ICZ, 6QDV, 6YVH, 7A5P, 7W59, 7W5A, 7W5B, 7ZNJ, 8C6J, 8I0W, 9FMD","1WEZ, 1WG5, 6DG1, 8SGH"
23,TNFRSF1A,JAK1,Q15628,P23458,"1F2H, 1F3V, 5XME, 6AC0, 7CSQ","3EYG, 3EYH, 4E4L, 4E4N, 4E5W, 4EHZ, 4EI4, 4FK6, 4GS0, 4I5C, 4IVB, 4IVC, 4IVD, 4K6Z, 4K77, 4L00, 4L01, 5E1E, 5HX8, 5IXD, 5IXI, 5KHW, 5KHX, 5L04, 5WO4, 6AAH, 6BBU, 6C7Y, 6DBN, 6ELR, 6GGH, 6HZU, 6N77, 6N78, 6N79, 6N7A, 6N7B, 6N7C, 6N7D, 6RSB, 6RSC, 6RSD, 6RSE, 6RSH, 6SM8, 6SMB, 6TPE, 6TPF, 6W8L, 8EXJ, 8S85"
24,TBK1,ATG9A,Q9WUN2,Q3T904,"4JL9, 4JLC, 6O8C",No 3D Structure
25,ARAF,HSP90AA1,P10398,A5A6K9,"1WXM, 2MSE, 9AXM",No 3D Structure
26,PMPCB,MDH2,O75439,P40926,No 3D Structure,"2DFD, 4WLE, 4WLF, 4WLN, 4WLO, 4WLU, 4WLV"
27,CAPRIN1,DHX9,Q14444,Q5R874,"4WBE, 4WBP, 6TA7, 7XHG, 8TH7",No 3D Structure
28,DHX9,RBM14,Q5R874,Q8C2Q3,No 3D Structure,No 3D Structure
29,SFPQ,HNRNPA3,Q8VIJ6,P51991,No 3D Structure,No 3D Structure
30,DDX5,SFPQ,Q5R4I9,Q8VIJ6,No 3D Structure,No 3D Structure
31,PSMA5,VCP,P28066,P42660,"4R3O, 4R67, 5A0Q, 5GJQ, 5GJR, 5L4G, 5LE5, 5LEX, 5LEY, 5LEZ, 5LF0, 5LF1, 5LF3, 5LF4, 5LF6, 5LF7, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I, 5T0J, 5VFO, 5VFP, 5VFQ, 5VFR, 5VFS, 5VFT, 5VFU, 6AVO, 6E5B, 6KWY, 6MSB, 6MSD, 6MSE, 6MSG, 6MSH, 6MSJ, 6MSK, 6R70, 6REY, 6RGQ, 6WJD, 6WJN, 6XMJ, 7AWE, 7B12, 7LXV, 7NAN, 7NAO, 7NAP, 7NAQ, 7NHT, 7PG9, 7QXN, 7QXP, 7QXU, 7QXW, 7QXX, 7QY7, 7QYA, 7QYB, 7V5G, 7V5M, 7W37, 7W38, 7W39, 7W3A, 7W3B, 7W3C, 7W3F, 7W3G, 7W3H, 7W3I, 7W3J, 7W3K, 7W3M, 8BZL, 8CVR, 8CVS, 8CVT, 8CXB, 8JRI, 8JRT, 8JTI, 8K0G, 8QYJ, 8QYL, 8QYM, 8QYN, 8QYO, 8QYS, 8QZ9, 8TM3, 8TM4, 8TM5, 8TM6, 8UD9, 8USB, 8USC, 8YIX, 8YIY, 8YIZ, 9E8G, 9E8H, 9E8I, 9E8J, 9E8K, 9E8L, 9E8N, 9E8O, 9E8Q",No 3D Structure
32,NDUFAB1,FDX1,O14561,P10109,"2DNW, 5OOL, 5OOM, 5XTB, 5XTC, 5XTD, 5XTH, 5XTI, 6ODD, 7A5H, 7A5J, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF5, 7OF7, 7OI6, 7OI7, 7OI8, 7OI9, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 8K2B, 8PK0, 8QSJ, 8QU5","3N9Y, 3N9Z, 3NA0, 3NA1, 3P1M, 7M8I"
33,CELF1,MATR3,Q4QQT3,P43243,No 3D Structure,No 3D Structure
34,NBR1,TBK1,Q9SB64,Q9WUN2,"6TGN, 6TGP, 6TGS","4JL9, 4JLC, 6O8C"
35,IL17RA,TYK2,Q96F46,P29597,"3JVF, 4HSA, 4NUX, 5N9B, 5NAN, 7UWL, 7UWM, 7UWN, 7ZAN","3LXN, 3LXP, 3NYX, 3NZ0, 3ZON, 4GFO, 4GIH, 4GII, 4GJ2, 4GJ3, 4GVJ, 4OLI, 4PO6, 4PY1, 4WOV, 5C01, 5C03, 5F1Z, 5F20, 5TKD, 5WAL, 6AAM, 6DBK, 6DBM, 6NSL, 6NZE, 6NZF, 6NZH, 6NZP, 6NZQ, 6NZR, 6OVA, 6VNS, 6VNV, 6VNX, 6VNY, 6X8F, 6X8G, 7AX4, 7K7O, 7K7Q, 7UYR, 7UYS, 7UYT, 7UYU, 8EXN, 8EYC, 8S98, 8S99, 8S9A, 8TB5, 8TB6"
36,GOT2,ENO1,P00505,Q9C9C4,"5AX8, 8SKR",No 3D Structure
37,TOMM40,CHCHD2,O96008,Q9Y6H1,"7CK6, 7CP9, 7VBY, 7VC4, 7VD2, 7VDD, 8XVA",No 3D Structure
38,HSPB1,MAPT,Q3T149,P10636,No 3D Structure,"1I8H, 2MZ7, 2ON9, 3OVL, 4E0M, 4E0N, 4E0O, 4FL5, 4GLR, 4NP8, 4TQE, 4Y32, 4Y3B, 4Y5I, 5BTV, 5DMG, 5E2V, 5E2W, 5HF3, 5K7N, 5MO3, 5MP1, 5MP3, 5MP5, 5N5A, 5N5B, 5NVB, 5O3L, 5O3O, 5O3T, 5V5B, 5V5C, 5ZIA, 5ZV3, 6BB4, 6CVJ, 6CVN, 6DC8, 6DC9, 6DCA, 6FAU, 6FAV, 6FAW, 6FBW, 6FBY, 6FI4, 6FI5, 6GK7, 6GK8, 6GX5, 6H06, 6HRE, 6HRF, 6LRA, 6N4P, 6NK4, 6NWP, 6NWQ, 6ODG, 6PXR, 6QJH, 6QJM, 6QJP, 6QJQ, 6TJO, 6TJX, 6VH7, 6VHA, 6VHL, 6VI3, 6XLI, 7EYC, 7KQK, 7MKF, 7MKG, 7MKH, 7NRQ, 7NRS, 7NRT, 7NRV, 7NRX, 7P65, 7P66, 7P67, 7P68, 7P6A, 7P6B, 7P6C, 7P6D, 7P6E, 7PQC, 7PQP, 7QJV, 7QJW, 7QJX, 7QJY, 7QJZ, 7QK1, 7QK2, 7QK3, 7QK5, 7QK6, 7QKF, 7QKG, 7QKH, 7QKI, 7QKJ, 7QKK, 7QKL, 7QKM, 7QKU, 7QKV, 7QKW, 7QKX, 7QKY, 7QKZ, 7QL0, 7QL1, 7QL2, 7QL3, 7QL4, 7R4T, 7R5H, 7SP1, 7U0Z, 7UPE, 7UPF, 7UPG, 7YMN, 7YPG, 8AZU, 8BGS, 8BGV, 8BYN, 8CAQ, 8CAX, 8FNZ, 8FUG, 8FYU, 8G54, 8G55, 8G58, 8GCK, 8KDX, 8OH2, 8OHI, 8OHP, 8OI0, 8OP0, 8OPI, 8ORE, 8ORF, 8ORG, 8OT6, 8OT9, 8OTC, 8OTG, 8OTH, 8OTI, 8OTJ, 8P34, 8PII, 8PPO, 8Q27, 8Q2J, 8Q2K, 8Q2L, 8Q7F, 8Q7L, 8Q7M, 8Q7P, 8Q7T, 8Q88, 8Q8C, 8Q8D, 8Q8E, 8Q8F, 8Q8L, 8Q8M, 8Q8R, 8Q8S, 8Q8U, 8Q8V, 8Q8W, 8Q8X, 8Q8Y, 8Q8Z, 8Q92, 8Q97, 8Q98, 8Q99, 8Q9A, 8Q9B, 8Q9C, 8Q9D, 8Q9E, 8Q9F, 8Q9G, 8Q9H, 8Q9I, 8Q9J, 8Q9K, 8Q9L, 8Q9M, 8Q9O, 8QCP, 8QCR, 8QDV, 8QJJ, 8R3T, 8SEH, 8SEI, 8TTL, 8TTN, 8UQ7, 8V1N, 8WCP, 8ZWL, 8ZWM, 8ZX6, 9BBL, 9BBM, 9BXI, 9BXO, 9BXQ, 9BXR, 9CGX, 9CGZ, 9CZI, 9CZL, 9EO7, 9EO9, 9EOE, 9EOG, 9EOH, 9ERM, 9ERN, 9ERO, 9G13, 9GG0, 9GG1, 9GG6, 9H5G, 9H5J, 9HBB"
39,FUNDC1,HSPA9,Q8IVP5,P38646,"2N9X, 5GMV","3N8E, 4KBO, 6NHK, 6P2U, 6PMT, 9BLS, 9BLT, 9BLU"
40,PABPC1,DHX9,P11940,Q5R874,"1CVJ, 1G9L, 1JGN, 1JH4, 2D9P, 2K8G, 2RQG, 2RQH, 2X04, 3KTP, 3KTR, 3KUI, 3KUJ, 3KUR, 3KUS, 3KUT, 3PKN, 3PTH, 4F02, 4F25, 4F26, 5DX1, 5DX8, 5DXA, 5LGP, 5LGQ, 5LGR, 5LGS, 7BN3, 8SMO",No 3D Structure
41,MATR3,HNRNPA3,P43243,P51991,No 3D Structure,No 3D Structure
42,UBC,VDAC1,P0CG48,Q9MZ16,"1C3T, 1CMX, 1D3Z, 1F9J, 1FXT, 1G6J, 1GJZ, 1NBF, 1OGW, 1Q5W, 1S1Q, 1SIF, 1TBE, 1UBI, 1UBQ, 1UD7, 1XD3, 1XQQ, 1YX5, 1YX6, 1ZGU, 2AYO, 2BGF, 2DEN, 2FUH, 2G45, 2GBJ, 2GBK, 2GBM, 2GBN, 2GBR, 2GMI, 2HTH, 2IBI, 2J7Q, 2JF5, 2JRI, 2JY6, 2JZZ, 2K25, 2K6D, 2K8B, 2K8C, 2KDF, 2KJH, 2KLG, 2KN5, 2KX0, 2L3Z, 2LD9, 2LVO, 2LVP, 2LVQ, 2LZ6, 2MBO, 2MBQ, 2MCN, 2MI8, 2MJ5, 2MOR, 2MRE, 2MWS, 2N2K, 2NR2, 2O6V, 2OJR, 2PE9, 2PEA, 2RR9, 2RU6, 2W9N, 2WDT, 2XEW, 2Z59, 2ZCB, 2ZVN, 2ZVO, 3A33, 3ALB, 3AUL, 3B08, 3B0A, 3BY4, 3C0R, 3DVG, 3DVN, 3EEC, 3EFU, 3EHV, 3H7P, 3H7S, 3HM3, 3IFW, 3IHP, 3JSV, 3JVZ, 3JW0, 3K9O, 3K9P, 3KVF, 3KW5, 3LDZ, 3MHS, 3MTN, 3N30, 3N32, 3N3K, 3NS8, 3O65, 3OFI, 3OJ4, 3ONS, 3PT2, 3PTF, 3Q3F, 3RUL, 3TMP, 3U30, 3UGB, 3V6C, 3V6E, 3VFK, 3VUW, 3VUX, 3VUY, 3WXE, 3WXF, 3ZNI, 3ZNZ, 4AP4, 4AUQ, 4BOS, 4BOZ, 4BVU, 4DDG, 4DDI, 4DHJ, 4DHZ, 4FJV, 4HK2, 4HXD, 4I6L, 4I6N, 4IG7, 4IUM, 4JQW, 4K1R, 4K7S, 4K7U, 4K7W, 4KSK, 4KSL, 4LCD, 4LDT, 4MDK, 4MM3, 4MSM, 4MSQ, 4NQK, 4UN2, 4V3K, 4V3L, 4XOK, 4XOL, 4ZQS, 5AF4, 5AF5, 5AF6, 5AIU, 5B83, 5C7J, 5C7M, 5E6J, 5H07, 5NL4, 5NLF, 5NLI, 5NMC, 5OE7, 5OHV, 5OXH, 5OXI, 5UDH, 5WQ4, 5ZQ3, 5ZQ4, 5ZQ5, 5ZQ6, 5ZQ7, 6A43, 6A44, 6AQR, 6B7M, 6B7O, 6EQI, 6K2U, 6KBE, 6N13, 6N6R, 6NQA, 6NXK, 6OI4, 6P5B, 6Q00, 6QML, 6RYA, 6S53, 6SQR, 6T7F, 6T9L, 6TNF, 6TTU, 6TUV, 6TXB, 6ULH, 6UMP, 6UMS, 6UPU, 6V5D, 6VAE, 6VAF, 6VEN, 6W9D, 6W9R, 6W9S, 6WJD, 6WKR, 6WTG, 6YPT, 6Z7V, 7B5L, 7B5M, 7B5N, 7BBD, 7BBF, 7BXG, 7EAL, 7EAO, 7EB9, 7JXV, 7K6P, 7K6Q, 7KEO, 7M4M, 7M4N, 7M4O, 7MEX, 7MIC, 7MYF, 7NPI, 7OWD, 7R70, 7R71, 7TV4, 7UV5, 7UYH, 7YUI, 7ZJ3, 8A9J, 8A9K, 8ADB, 8AMS, 8B3G, 8B3I, 8E7O, 8EAZ, 8EB0, 8FTQ, 8JRT, 8JTI, 8K6I, 8OFF, 8PJN, 8PMQ, 8PQL, 8Q7R, 8R5H, 8RX0, 8SSI, 8ST7, 8ST8, 8ST9, 8SVF, 8T48, 8U5H, 9D1I, 9D1Y, 9D1Z, 9D8P, 9DBY, 9DDE, 9DG3, 9EGV, 9EGW, 9FCI, 9FCJ, 9FJ3, 9FJ4",No 3D Structure
43,RAF1,VDAC1,A7E3S4,Q9MZ16,No 3D Structure,No 3D Structure
44,YWHAH,TBC1D4,Q04917,O60343,"2C63, 2C74, 7NMZ","3QYB, 7NIX"
45,TP53,VCP,Q12888,P42660,"1GZH, 1KZY, 1XNI, 2G3R, 2IG0, 2LVM, 2MWO, 2MWP, 3LGF, 3LGL, 3LH0, 4CRI, 4RG2, 4X34, 5ECG, 5J26, 5KGF, 5Z78, 5ZCJ, 6CO1, 6CO2, 6IU7, 6IUA, 6MXX, 6MXY, 6MXZ, 6MY0, 6RML, 6RMM, 6UPT, 6VA5, 6VIP, 7LIN, 7LIO, 7YQK, 8EOM, 8F0W, 8HKW, 8SVG, 8SVH, 8SVI, 8SVJ, 8SWJ, 8T2D, 8U4U",No 3D Structure
46,CYLD,MAVS,Q9NQC7,Q8VCF0,"1IXD, 1WHL, 1WHM, 2VHF, 7OWC, 7OWD",4GHU
47,HNRNPH1,NONO,P31943,Q5FVM4,"2LXU, 6DHS, 7ZUG",No 3D Structure
48,SFPQ,RBMX,Q8VIJ6,Q9WV02,No 3D Structure,No 3D Structure
49,FH,ENO1,P07954,Q9C9C4,"3E04, 5D6B, 5UPP, 6EBT, 6V8F, 6VBE, 7LUB",No 3D Structure
50,FUS,CAPRIN1,P56959,Q14444,No 3D Structure,"4WBE, 4WBP, 6TA7, 7XHG, 8TH7"
51,ACO2,RPL11,Q94A28,Q9CXW4,No 3D Structure,"6SWA, 7CPU, 7CPV, 7LS1, 7LS2"
52,MAVS,PLK1,Q8VCF0,P53350,4GHU,"1Q4K, 1Q4O, 1UMW, 2OGQ, 2OJX, 2OU7, 2OWB, 2RKU, 2V5Q, 2YAC, 3BZI, 3C5L, 3FC2, 3FVH, 3HIH, 3HIK, 3KB7, 3P2W, 3P2Z, 3P34, 3P35, 3P36, 3P37, 3Q1I, 3RQ7, 3THB, 4A4L, 4A4O, 4DFW, 4E67, 4E9C, 4E9D, 4H5X, 4H71, 4HAB, 4HCO, 4HY2, 4J52, 4J53, 4LKL, 4LKM, 4O56, 4O6W, 4O9W, 4RCP, 4WHH, 4WHK, 4WHL, 4X9R, 4X9V, 4X9W, 5J19, 5NEI, 5NFU, 5NJE, 5NMM, 5NN1, 5NN2, 5TA6, 5TA8, 6AX4, 6GY2, 7MSO, 7MX1, 8BJT, 8CRC, 8JOQ, 8JOY, 8S30, 8S31, 8WFP, 8X72, 8XB9"
53,HDAC6,HSPA5,Q9UBN7,Q80WF4,"3C5K, 3GV4, 3PHD, 5B8D, 5EDU, 5KH3, 5KH7, 5KH9, 5WBN, 5WPB, 6CE6, 6CE8, 6CEA, 6CEC, 6CED, 6CEE, 6CEF, 7ZYU, 8G43, 8G44, 8G45",No 3D Structure
54,HNRNPH2,RBMX,P55795,Q9WV02,"1WEZ, 1WG5, 6DG1, 8SGH",No 3D Structure
55,SOD1,PSMD11,P15107,O00231,1XSO,"5GJQ, 5GJR, 5L4K, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I, 5T0J, 5VFP, 5VFQ, 5VFR, 5VFS, 5VFT, 5VFU, 5VGZ, 5VHF, 5VHH, 5VHI, 5VHS, 6MSB, 6MSD, 6MSE, 6MSG, 6MSH, 6MSJ, 6MSK, 6WJD, 6WJN, 7QXN, 7QXP, 7QXU, 7QXW, 7QXX, 7QY7, 7QYA, 7QYB, 7W37, 7W38, 7W39, 7W3A, 7W3B, 7W3C, 7W3F, 7W3G, 7W3H, 7W3I, 7W3J, 7W3K, 7W3M, 8CVT, 8JRI, 8JRT, 8JTI, 8K0G, 8USB, 8USC, 9E8G, 9E8H, 9E8I, 9E8J, 9E8K, 9E8L, 9E8N, 9E8O, 9E8Q"
56,CTSD,SNCA,Q4WNV0,Q3T0G8,No 3D Structure,No 3D Structure
57,CALCOCO2,ATG9A,Q13137,Q3T904,"2MXP, 3VVV, 3VVW, 4GXL, 4HAN, 4XKL, 5AAQ, 5Z7A, 5Z7L, 7EAA",No 3D Structure
58,ENO1,HSPA9,Q9C9C4,P38646,No 3D Structure,"3N8E, 4KBO, 6NHK, 6P2U, 6PMT, 9BLS, 9BLT, 9BLU"
59,FUS,RALY,P56959,Q64012,No 3D Structure,No 3D Structure
60,SMN1,SRSF3,P97801,P84103,No 3D Structure,"2I2Y, 2I38, 9ASQ"
61,YWHAQ,TFEB,P68254,Q9R210,No 3D Structure,No 3D Structure
62,NDUFV2,SUCLG2,P19404,Q96I99,"5XTB, 5XTD, 5XTH, 5XTI","6WCV, 7MSR, 7MSS, 7MST, 8Z02, 8Z03"
63,DLAT,NDUFS2,Q8BMF4,O75306,No 3D Structure,"5XTB, 5XTC, 5XTD, 5XTH, 5XTI"
64,G3BP1,SYNCRIP,Q13283,O60506,"3Q90, 4FCJ, 4FCM, 4IIA, 5FW5, 6TA7, 7S17, 7SUO, 7XHF, 7XHG, 8TH1, 8TH5, 8TH6, 8TH7, 8V1L","2DGU, 2MXT, 2NBB, 6KOR"
65,IDH3A,UQCRC2,Q9D6R2,P22695,No 3D Structure,"5XTE, 5XTH, 5XTI"
66,CS,SOD2,A0A2P1GIW2,P04179,6RT8,"1AP5, 1AP6, 1EM1, 1JA8, 1LUV, 1LUW, 1MSD, 1N0J, 1N0N, 1PL4, 1PM9, 1QNM, 1SZX, 1VAR, 1XDC, 1XIL, 1ZSP, 1ZTE, 1ZUQ, 2ADP, 2ADQ, 2GDS, 2P4K, 2QKA, 2QKC, 3C3S, 3C3T, 5GXO, 5T30, 5VF9, 7KKS, 7KKU, 7KKW, 7KLB, 8SKS, 8VHW, 8VHY, 8VJ0, 8VJ4, 8VJ5, 8VJ8"
67,OPTN,ATG9A,Q8K3K8,Q3T904,5WQ4,No 3D Structure
68,PCBP1,SYNCRIP,P60335,O60506,No 3D Structure,"2DGU, 2MXT, 2NBB, 6KOR"
69,IFNA4,IFNA7,P05014,P01567,No 3D Structure,No 3D Structure
70,MATR3,HNRNPR,P43243,O43390,No 3D Structure,2DK2
71,PABPC1,HNRNPL,P11940,Q8R081,"1CVJ, 1G9L, 1JGN, 1JH4, 2D9P, 2K8G, 2RQG, 2RQH, 2X04, 3KTP, 3KTR, 3KUI, 3KUJ, 3KUR, 3KUS, 3KUT, 3PKN, 3PTH, 4F02, 4F25, 4F26, 5DX1, 5DX8, 5DXA, 5LGP, 5LGQ, 5LGR, 5LGS, 7BN3, 8SMO","3S01, 3TYT"
72,IKBKG,RAB8A,Q9Y6K9,Q5R4A3,"2JVX, 2JVY, 3BRT, 3BRV, 3CL3, 3FX0, 4BWN, 5AAY, 5LDE, 6MI3, 6MI4, 6XX0, 6YEK, 7T2U, 7TV4, 9AZJ",No 3D Structure
73,HNRNPDL,HNRNPH2,O14979,P55795,7ZIR,"1WEZ, 1WG5, 6DG1, 8SGH"
