SNO,Protein A,Protein B,UniProtID A,UniProtID B,PDB ID A,PDB ID B
2078,UBQLN4,PSMC2,Q9NRR5,P35998,No 3D Structure,"5GJQ, 5GJR, 5L4G, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I, 5T0J, 5VFP, 5VFQ, 5VFR, 5VFS, 5VFT, 5VFU, 5VGZ, 5VHF, 5VHH, 5VHI, 5VHJ, 5VHM, 5VHN, 5VHO, 5VHP, 5VHQ, 5VHR, 5VHS, 6MSB, 6MSD, 6MSE, 6MSG, 6MSH, 6MSJ, 6MSK, 6WJD, 6WJN, 7QXN, 7QXP, 7QXU, 7QXW, 7QXX, 7QY7, 7QYA, 7QYB, 7W37, 7W38, 7W39, 7W3A, 7W3B, 7W3C, 7W3F, 7W3G, 7W3H, 7W3I, 7W3J, 7W3K, 7W3M, 8CVT, 8JRI, 8JRT, 8JTI, 8K0G, 8USB, 8USC, 8USD, 9E8G, 9E8H, 9E8I, 9E8J, 9E8K, 9E8L, 9E8N, 9E8O, 9E8Q"
2079,UBQLN4,PSMD12,Q9NRR5,O00232,No 3D Structure,"5GJQ, 5GJR, 5L4K, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I, 5T0J, 5VFP, 5VFQ, 5VFR, 5VFS, 5VFT, 5VFU, 5VGZ, 5VHF, 5VHH, 5VHI, 5VHS, 6MSB, 6MSD, 6MSE, 6MSG, 6MSH, 6MSJ, 6MSK, 6WJD, 6WJN, 7QXN, 7QXP, 7QXU, 7QXW, 7QXX, 7QY7, 7QYA, 7QYB, 7W37, 7W38, 7W39, 7W3A, 7W3B, 7W3C, 7W3F, 7W3G, 7W3H, 7W3I, 7W3J, 7W3K, 7W3M, 8CVT, 8JRI, 8JRT, 8JTI, 8K0G, 8USB, 8USC, 9E8G, 9E8H, 9E8I, 9E8J, 9E8K, 9E8L, 9E8N, 9E8O, 9E8Q"
2080,STAT4,IL12RB2,Q14765,Q99665,No 3D Structure,"8XRP, 8YI7"
2081,SRC,TRAF6,Q1JPZ3,B6CJY4,No 3D Structure,No 3D Structure
2082,IDH3G,IDH1,P51553,B7G620,"5GRE, 5GRF, 5GRH, 5GRI, 5GRL, 5YVT, 6L57, 6L59, 7CE3, 8GRG, 8GRH, 8GS5",6LKZ
2083,BOLA3,GLRX5,Q53S33,Q86SX6,2NCL,"2MMZ, 2WUL"
2084,UBQLN4,PSMD11,Q9NRR5,O00231,No 3D Structure,"5GJQ, 5GJR, 5L4K, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I, 5T0J, 5VFP, 5VFQ, 5VFR, 5VFS, 5VFT, 5VFU, 5VGZ, 5VHF, 5VHH, 5VHI, 5VHS, 6MSB, 6MSD, 6MSE, 6MSG, 6MSH, 6MSJ, 6MSK, 6WJD, 6WJN, 7QXN, 7QXP, 7QXU, 7QXW, 7QXX, 7QY7, 7QYA, 7QYB, 7W37, 7W38, 7W39, 7W3A, 7W3B, 7W3C, 7W3F, 7W3G, 7W3H, 7W3I, 7W3J, 7W3K, 7W3M, 8CVT, 8JRI, 8JRT, 8JTI, 8K0G, 8USB, 8USC, 9E8G, 9E8H, 9E8I, 9E8J, 9E8K, 9E8L, 9E8N, 9E8O, 9E8Q"
2085,IL6,JAK1,P26892,P23458,No 3D Structure,"3EYG, 3EYH, 4E4L, 4E4N, 4E5W, 4EHZ, 4EI4, 4FK6, 4GS0, 4I5C, 4IVB, 4IVC, 4IVD, 4K6Z, 4K77, 4L00, 4L01, 5E1E, 5HX8, 5IXD, 5IXI, 5KHW, 5KHX, 5L04, 5WO4, 6AAH, 6BBU, 6C7Y, 6DBN, 6ELR, 6GGH, 6HZU, 6N77, 6N78, 6N79, 6N7A, 6N7B, 6N7C, 6N7D, 6RSB, 6RSC, 6RSD, 6RSE, 6RSH, 6SM8, 6SMB, 6TPE, 6TPF, 6W8L, 8EXJ, 8S85"
2086,UBC,UBQLN1,P0CG48,Q8R317,"1C3T, 1CMX, 1D3Z, 1F9J, 1FXT, 1G6J, 1GJZ, 1NBF, 1OGW, 1Q5W, 1S1Q, 1SIF, 1TBE, 1UBI, 1UBQ, 1UD7, 1XD3, 1XQQ, 1YX5, 1YX6, 1ZGU, 2AYO, 2BGF, 2DEN, 2FUH, 2G45, 2GBJ, 2GBK, 2GBM, 2GBN, 2GBR, 2GMI, 2HTH, 2IBI, 2J7Q, 2JF5, 2JRI, 2JY6, 2JZZ, 2K25, 2K6D, 2K8B, 2K8C, 2KDF, 2KJH, 2KLG, 2KN5, 2KX0, 2L3Z, 2LD9, 2LVO, 2LVP, 2LVQ, 2LZ6, 2MBO, 2MBQ, 2MCN, 2MI8, 2MJ5, 2MOR, 2MRE, 2MWS, 2N2K, 2NR2, 2O6V, 2OJR, 2PE9, 2PEA, 2RR9, 2RU6, 2W9N, 2WDT, 2XEW, 2Z59, 2ZCB, 2ZVN, 2ZVO, 3A33, 3ALB, 3AUL, 3B08, 3B0A, 3BY4, 3C0R, 3DVG, 3DVN, 3EEC, 3EFU, 3EHV, 3H7P, 3H7S, 3HM3, 3IFW, 3IHP, 3JSV, 3JVZ, 3JW0, 3K9O, 3K9P, 3KVF, 3KW5, 3LDZ, 3MHS, 3MTN, 3N30, 3N32, 3N3K, 3NS8, 3O65, 3OFI, 3OJ4, 3ONS, 3PT2, 3PTF, 3Q3F, 3RUL, 3TMP, 3U30, 3UGB, 3V6C, 3V6E, 3VFK, 3VUW, 3VUX, 3VUY, 3WXE, 3WXF, 3ZNI, 3ZNZ, 4AP4, 4AUQ, 4BOS, 4BOZ, 4BVU, 4DDG, 4DDI, 4DHJ, 4DHZ, 4FJV, 4HK2, 4HXD, 4I6L, 4I6N, 4IG7, 4IUM, 4JQW, 4K1R, 4K7S, 4K7U, 4K7W, 4KSK, 4KSL, 4LCD, 4LDT, 4MDK, 4MM3, 4MSM, 4MSQ, 4NQK, 4UN2, 4V3K, 4V3L, 4XOK, 4XOL, 4ZQS, 5AF4, 5AF5, 5AF6, 5AIU, 5B83, 5C7J, 5C7M, 5E6J, 5H07, 5NL4, 5NLF, 5NLI, 5NMC, 5OE7, 5OHV, 5OXH, 5OXI, 5UDH, 5WQ4, 5ZQ3, 5ZQ4, 5ZQ5, 5ZQ6, 5ZQ7, 6A43, 6A44, 6AQR, 6B7M, 6B7O, 6EQI, 6K2U, 6KBE, 6N13, 6N6R, 6NQA, 6NXK, 6OI4, 6P5B, 6Q00, 6QML, 6RYA, 6S53, 6SQR, 6T7F, 6T9L, 6TNF, 6TTU, 6TUV, 6TXB, 6ULH, 6UMP, 6UMS, 6UPU, 6V5D, 6VAE, 6VAF, 6VEN, 6W9D, 6W9R, 6W9S, 6WJD, 6WKR, 6WTG, 6YPT, 6Z7V, 7B5L, 7B5M, 7B5N, 7BBD, 7BBF, 7BXG, 7EAL, 7EAO, 7EB9, 7JXV, 7K6P, 7K6Q, 7KEO, 7M4M, 7M4N, 7M4O, 7MEX, 7MIC, 7MYF, 7NPI, 7OWD, 7R70, 7R71, 7TV4, 7UV5, 7UYH, 7YUI, 7ZJ3, 8A9J, 8A9K, 8ADB, 8AMS, 8B3G, 8B3I, 8E7O, 8EAZ, 8EB0, 8FTQ, 8JRT, 8JTI, 8K6I, 8OFF, 8PJN, 8PMQ, 8PQL, 8Q7R, 8R5H, 8RX0, 8SSI, 8ST7, 8ST8, 8ST9, 8SVF, 8T48, 8U5H, 9D1I, 9D1Y, 9D1Z, 9D8P, 9DBY, 9DDE, 9DG3, 9EGV, 9EGW, 9FCI, 9FCJ, 9FJ3, 9FJ4",No 3D Structure
2087,JAK1,STAT6,P23458,P52633,"3EYG, 3EYH, 4E4L, 4E4N, 4E5W, 4EHZ, 4EI4, 4FK6, 4GS0, 4I5C, 4IVB, 4IVC, 4IVD, 4K6Z, 4K77, 4L00, 4L01, 5E1E, 5HX8, 5IXD, 5IXI, 5KHW, 5KHX, 5L04, 5WO4, 6AAH, 6BBU, 6C7Y, 6DBN, 6ELR, 6GGH, 6HZU, 6N77, 6N78, 6N79, 6N7A, 6N7B, 6N7C, 6N7D, 6RSB, 6RSC, 6RSD, 6RSE, 6RSH, 6SM8, 6SMB, 6TPE, 6TPF, 6W8L, 8EXJ, 8S85",No 3D Structure
